partNumber,Unnamed: 1,name,partType,year,location,quantity,link,typt
117,,,,0,,,,
118,,,,0,,,,
119,,,,0,,,,
120,,,,0,,,,
121,,,,0,,,,
122,,,,0,,,,
123,,,,0,,,,
124,,,,0,,,,
125,,,,0,,,,
126,,,,0,,,,
127,,,,0,,,,
128,,R- 1,Component,0,A,1.0,,roboroio 1
129,,R - 2,Component,0,A,1.0,,roboroio 2
130,,R - 3,Component,0,A,1.0,,roboroio 1
131,,R - 4,Component,0,Training Chassis,1.0,,roboroio 2
132,,R- 5,Component,0,Suitcase,1.0,,
133,,L - 1,Component,2025,A,1.0,,Lime light 4
134,,L -2 ,Component,2025,A,1.0,,Lime light 4
135,,L - 3,Component,0,A,1.0,,Lime light 3
136,,L - 4,Component,0,A,1.0,,Lime light 3G
137,,PDP - 1,Component,0,A,1.0,,PDP
138,,PDP - 2,Component,0,A,1.0,,PDP
139,,PDP 3,Component,0,A,1.0,,PDP
140,,PDP 4,Component,0,Training Chassis,1.0,,PDP
141,,PDP - 5,Component,0,Suitcase,1.0,,
142,,NR - 1,Component,2025,A,1.0,,new radio
143,,NR - 2,Component,2025,A,1.0,,new radio
144,,OR - 1,Component,0,A,1.0,,old radio
145,,OR - 2,Component,0,A,1.0,,old radio
146,,OR - 3,Component,0,A,1.0,,old radio
147,,OR - 4,Component,0,A,1.0,,old radio
148,,OR - 5,Component,0,A,1.0,,old radio
149,,OR - 6,Component,0,A,1.0,,old radio
150,,OR - 7,Component,0,A,1.0,,old radio
151,,OR - 8,Component,0,Training Chassis,1.0,,old radio
152,,PDH - 1,Component,0,A,1.0,,PDH
153,,V - 1,Component,0,A,1.0,,VRM
154,,V - 2,Component,0,A,1.0,,VRM
155,,V - 3,Component,0,A,1.0,,VRM
156,,V - 4,Component,0,A,1.0,,VRM
157,,V - 5,Component,0,Training Chassis,1.0,,VRM
158,,V - 6,Component,0,Suitcase,1.0,,
159,,PCM - 1,Component,0,A,1.0,,PCM
160,,PCM - 2,Component,0,A,1.0,,PCM
161,,PCM - 3,Component,0,A,1.0,,PCM
162,,C - 1,Component,0,A,1.0,,CANIVOR
163,,P - 1,Component,0,A,1.0,,PIGEON
164,,RPM - 1,Component,0,A,1.0,,RPM
165,,RPM - 2,Component,0,A,1.0,,RPM
166,,SM - 1,Component,0,A,1.0,,Spark Max
167,,SM - 2,Component,0,A,1.0,,Spark Max
168,,SM - 3,Component,0,Training Chassis,1.0,,Spark Max
169,,SM - 4,Component,0,Training Chassis,1.0,,Spark Max
170,,SM - 5,Component,0,Training Chassis,1.0,,Spark Max
171,,SM - 6,Component,0,Training Chassis,1.0,,Spark Max
172,,SM - 7,Component,0,Training Chassis,1.0,,Spark Max
173,,SM - 8,Component,0,Training Chassis,1.0,,Spark Max
174,,SM - 9,Component,0,Training Chassis,1.0,,Spark Max
175,,SM - 10,Component,0,Training Chassis,1.0,,Spark Max
176,,SM - 11,Component,0,Suitcase,1.0,,Spark Max
177,,SM - 12,Component,0,Suitcase,1.0,,Spark Max
178,,SM - 13,Component,0,Suitcase,1.0,,Spark Max
179,,SM - 14,Component,0,Suitcase,1.0,,Spark Max
180,,S - 1,Component,0,A,1.0,,Switch
181,,S - 2,Component,0,A,1.0,,TP link Switch
182,,S - 3,Component,0,A,1.0,,TP link Switch
183,,PH- 1,Component,0,A,1.0,,PH - Pneumatic Hub
184,, PH- 2,Component,0,A,1.0,,PH - Pneumatic Hub
185,,LED-1,Component,0,A,1.0,,LEDs
186,,RSL,Concumable,0,A,6.0,,RSL
